Date,EUR,GBP,JPY,INR,CNY,CAD,BRL,RUB,CZK,AUD,NZD,CHF,SEK,NOK
2006-10-31,1.2762,1.9074,0.008549,0.022223,0.12692,0.8911,0.465,0.03735,0.04492,0.7738,0.6704,0.8037,0.138442,0.1529
2006-11-30,1.3242,1.9659,0.008635,0.022344,0.12766,0.877,0.4613,0.03802,0.047162,0.7889,0.6842,0.8348,0.146029,0.1624
2006-12-31,1.3197,1.9588,0.008399,0.022595,0.128,0.8578,0.4676,0.03796,0.04788,0.7885,0.7039,0.8196,0.146019,0.1604
2007-01-31,1.3032,1.9655,0.008285,0.022633,0.12864,0.8497,0.4679,0.03764,0.045745,0.7769,0.6912,0.8038,0.14391,0.1602
2007-02-28,1.3229,1.9639,0.008435,0.022585,0.12913,0.8547,0.472,0.03822,0.046622,0.7879,0.7014,0.8199,0.14296,0.1631
2007-03-31,1.3354,1.9678,0.008487,0.022989,0.1293,0.8666,0.4894,0.0384,0.047539,0.8086,0.7144,0.8227,0.143211,0.1644
2007-04-30,1.3648,1.9995,0.008366,0.024266,0.12981,0.9011,0.4922,0.03888,0.048365,0.8301,0.7405,0.8283,0.149306,0.168
2007-05-31,1.3453,1.9798,0.008215,0.024606,0.13078,0.9355,0.5155,0.0386,0.047427,0.8279,0.7368,0.8161,0.144563,0.1658
2007-06-30,1.3541,2.0087,0.008119,0.024542,0.13135,0.9387,0.5197,0.03882,0.047037,0.8494,0.7727,0.8186,0.14634,0.1697
2007-07-31,1.3684,2.0313,0.008431,0.024764,0.13205,0.9376,0.534,0.03915,0.048885,0.8517,0.7624,0.8325,0.148529,0.1716
2007-08-31,1.363,2.0171,0.008638,0.024423,0.1326,0.9473,0.5086,0.03902,0.049297,0.8186,0.7017,0.8275,0.145039,0.1717
2007-09-30,1.4267,2.0473,0.00871,0.025119,0.13325,1.0078,0.5417,0.04011,0.05154,0.8879,0.7579,0.8593,0.155325,0.1856
2007-10-31,1.4487,2.0798,0.008663,0.025431,0.13398,1.0603,0.5708,0.04052,0.053536,0.9341,0.7733,0.8635,0.157458,0.1863
