Date,USD,EUR,GBP,JPY,INR,CNY,CAD,BRL,RUB,CZK,AUD,NZD,CHF,SEK,NOK
2007-05-31,57.2,55,53.5,51.4,53.4,54.1,,54.3,54.4,55.8,54.7,55.4,59.9,58.8,60.54
2007-06-30,53.5,55.6,53.9,50.4,53.2,55,,54.9,53,57.7,54.6,51.4,62.9,58.9,57.95
2007-07-31,53.4,54.9,54.8,49,52.9,53.2,,54.8,53.4,59.5,56,54,62.6,58.1,55.9
2007-08-31,54.1,54.3,54.9,49.6,57.9,53.4,,54.9,53.1,58.8,52.6,56.6,63,57.4,59.23
2007-09-30,54.9,53.2,54.9,49.8,59.3,55,,56.4,52.2,55.8,49,54.2,59.4,57.6,56.63
2007-10-31,53.9,51.5,52.7,49.5,61.7,55.2,,57.2,52.9,54.6,52.6,57.4,61.2,58.5,59.94
2007-11-30,54.5,52.8,56.3,50.8,60.9,52.8,,56.4,54.1,54.9,55.5,57.2,61.9,57.2,55.17
2007-12-31,53.6,52.6,54.2,52.3,61.9,53.3,,55.3,54.3,55,56.1,53.2,61.8,56.7,54.02
2008-01-31,55.3,52.8,51.2,52.3,60.7,53.2,,54.7,55.3,56.1,45.9,53.1,61.7,55.2,53.14
2008-02-29,55.5,52.3,51.2,50.8,59.5,52.8,,53.4,54.6,56.5,55.6,52.6,60.6,55.8,55.38
2008-03-31,52.9,52,51.2,49.5,57.5,54.4,,52.8,54.6,57.4,54.1,48.1,57.9,54.5,53.56
2008-04-30,52.3,50.7,49.7,48.6,57.5,55.4,,54,53,54.1,53.2,50.4,55.7,50.6,53.78
2008-05-31,49.9,50.6,48.2,47.7,57.4,54.7,,53.5,52.4,51.8,51.8,48.3,55.3,50.5,51.78
2008-06-30,48.7,49.2,44.9,46.5,58.6,53.3,,52.1,50.9,50.7,47.7,44.3,54.7,48.8,47.86
2008-07-31,49.7,47.4,43.2,47,57.8,53.3,,53.5,50.4,49.9,48.1,48.2,52.5,45.6,47.38
