Date,usgg2yr index,GTEUR2Y Govt,GTGBP2Y Govt,GTJPY2Y Govt,IRSWN2 index,GTCNY2Y Govt,GTCAD2Y Govt,GTBRL2Y Govt,GTRUB2Y Govt,GTCZK2Y Govt,GTAUD2Y govt,GTNZD2Y govt,GTCHF2Y govt,GTSEK2Y govt,NKSW2 index
2007-05-31,4.9081,4.394,5.746,0.984,7.525,2.959,4.581,#N/A N/A,#N/A N/A,3.463,6.257,7.208,2.812,4.027,5.5999
2007-06-29,4.8582,4.462,5.771,1.025,7.75,3.249,4.589,#N/A N/A,#N/A N/A,3.803,6.457,7.326,2.888,4.214,5.78
2007-07-31,4.5174,4.299,5.559,0.986,6.7,3.292,4.623,#N/A N/A,#N/A N/A,3.815,6.427,7.828,2.821,4.318,5.7355
2007-08-31,4.132,4.013,5.362,0.88,6.9,3.264,4.35,#N/A N/A,#N/A N/A,3.834,6.25,7.127,2.613,4.129,5.6697
2007-09-28,3.9835,4.028,5.07,0.87,6.05,3.538,4.081,#N/A N/A,#N/A N/A,3.847,6.433,6.932,2.508,4.091,5.655
2007-10-31,3.9452,4.056,5.102,0.79,5.575,3.617,4.159,#N/A N/A,#N/A N/A,3.853,6.72,7.161,2.495,4.197,5.6996
2007-11-30,2.9947,3.831,4.522,0.77,5.15,3.984,3.671,#N/A N/A,#N/A N/A,4.027,6.584,7.419,2.087,3.981,5.665
2007-12-31,3.0466,3.964,4.359,0.715,5.18,3.943,3.749,#N/A N/A,#N/A N/A,4.24,6.852,7.362,2.217,4.125,5.745
2008-01-31,2.0929,3.373,4.292,0.55,3.925,3.837,3.179,#N/A N/A,#N/A N/A,3.907,6.645,7.255,1.894,3.56,5.415
2008-02-29,1.6158,3.16,4.069,0.565,3.575,3.615,2.783,#N/A N/A,#N/A N/A,3.886,6.72,#N/A N/A,1.952,3.735,5.585
2008-03-31,1.5824,3.431,3.829,0.575,4.125,3.615,2.624,#N/A N/A,#N/A N/A,4.222,6.201,#N/A N/A,1.538,3.858,5.89
2008-04-30,2.2537,3.757,4.418,0.785,4.65,3.587,2.746,#N/A N/A,#N/A N/A,4.14,6.471,#N/A N/A,2.484,4.011,6.025
2008-05-30,2.6411,4.316,5.074,0.915,4.975,3.612,3.013,#N/A N/A,#N/A N/A,4.416,6.842,#N/A N/A,2.573,4.437,6.465
2008-06-30,2.6164,4.597,5.2265,0.805,7.65,3.736,3.245,#N/A N/A,#N/A N/A,4.607,6.8058,#N/A N/A,2.754,4.67,6.849
